amusement_parks.roller_coaster_material.roller_coasters	amusement_parks.roller_coaster_material	amusement_parks.roller_coaster
amusement_parks.roller_coaster_propulsion_system.roller_coasters	amusement_parks.roller_coaster_propulsion_system	amusement_parks.roller_coaster
amusement_parks.roller_coaster_train_configuration.roller_coasters	amusement_parks.roller_coaster_train_configuration	amusement_parks.roller_coaster
architecture.architect.architectural_style	architecture.architect	architecture.architectural_style
architecture.architect.structures_designed	architecture.architect	architecture.structure
architecture.architectural_contractor.projects	architecture.architectural_contractor	architecture.structure
architecture.architectural_structure_owner.structures_owned	architecture.architectural_structure_owner	architecture.ownership
architecture.architectural_structure_owner.structures_owned..architecture.ownership.structure	architecture.architectural_structure_owner	architecture.structure
architecture.architectural_style.architects	architecture.architectural_style	architecture.architect
architecture.architectural_style.examples	architecture.architectural_style	architecture.structure
architecture.architecture_firm.firm_partners	architecture.architecture_firm	architecture.architecture_firm_partners
architecture.architecture_firm.projects	architecture.architecture_firm	architecture.structure
architecture.architecture_firm_partners.partner_in_firm	architecture.architecture_firm_partners	architecture.architecture_firm
architecture.building.building_complex	architecture.building	architecture.building_complex
architecture.building.building_function	architecture.building	architecture.building_function
architecture.building.occupant	architecture.building	architecture.occupancy
architecture.building.occupant..architecture.occupancy.occupant	architecture.building	architecture.building_occupant
architecture.building_complex.buildings_in_complex	architecture.building_complex	architecture.building
architecture.building_complex.complex_function	architecture.building_complex	architecture.building_complex_function
architecture.building_complex_function.building_complexes	architecture.building_complex_function	architecture.building_complex
architecture.building_function.buildings	architecture.building_function	architecture.building
architecture.building_occupant.buildings_occupied	architecture.building_occupant	architecture.occupancy
architecture.building_occupant.buildings_occupied..architecture.occupancy.building	architecture.building_occupant	architecture.building
architecture.destruction_method.structures_destroyed	architecture.destruction_method	architecture.structure
architecture.engineer.partner_in_firm	architecture.engineer	architecture.engineering_firm
architecture.engineer.projects	architecture.engineer	architecture.structure
architecture.engineering_firm.partners	architecture.engineering_firm	architecture.engineer
architecture.engineering_firm.projects	architecture.engineering_firm	architecture.structure
architecture.landscape_architect.landscape_project	architecture.landscape_architect	architecture.landscape_project
architecture.landscape_project.address..location.mailing_address.citytown	architecture.landscape_project	location.location
architecture.landscape_project.address..location.mailing_address.postal_code	architecture.landscape_project	location.postal_code
architecture.landscape_project.address..location.mailing_address.state_province_region	architecture.landscape_project	location.administrative_division
architecture.landscape_project.construction_cost..measurement_unit.money_value.currency	architecture.landscape_project	finance.currency
architecture.landscape_project.landscape_architect	architecture.landscape_project	architecture.landscape_architect
architecture.light_characteristic.lighthouse_having_characteristics..architecture.light_attributes.lighthouse_having_attributes	architecture.light_characteristic	architecture.lighthouse
architecture.lighthouse.construction	architecture.lighthouse	architecture.lighthouse_construction_material
architecture.lighthouse.light_attributes..architecture.light_attributes.light_type	architecture.lighthouse	architecture.light_characteristic
architecture.lighthouse.light_color_range..architecture.light_color_range.color	architecture.lighthouse	visual_art.color
architecture.lighthouse.tower_shape	architecture.lighthouse	architecture.tower_shape
architecture.lighthouse_construction_material.used_on_lighthouse	architecture.lighthouse_construction_material	architecture.lighthouse
architecture.museum.address	architecture.museum	location.mailing_address
architecture.museum.address..location.location.geolocation	architecture.museum	location.geocode
architecture.museum.address..location.mailing_address.citytown	architecture.museum	location.location
architecture.museum.address..location.mailing_address.country	architecture.museum	location.country
architecture.museum.address..location.mailing_address.postal_code	architecture.museum	location.postal_code
architecture.museum.address..location.mailing_address.state_province_region	architecture.museum	location.administrative_division
architecture.museum.director	architecture.museum	architecture.museum_director
architecture.museum.type_of_museum	architecture.museum	architecture.type_of_museum
architecture.museum_director.museum	architecture.museum_director	architecture.museum
architecture.occupancy.building	architecture.occupancy	architecture.building
architecture.occupancy.occupant	architecture.occupancy	architecture.building_occupant
architecture.ownership.owner	architecture.ownership	architecture.architectural_structure_owner
architecture.ownership.structure	architecture.ownership	architecture.structure
architecture.structure.architect	architecture.structure	architecture.architect
architecture.structure.architectural_style	architecture.structure	architecture.architectural_style
architecture.structure.architecture_firm	architecture.structure	architecture.architecture_firm
architecture.structure.construction_cost..measurement_unit.money_value.currency	architecture.structure	finance.currency
architecture.structure.contractor	architecture.structure	architecture.architectural_contractor
architecture.structure.destroyed_by	architecture.structure	architecture.destruction_method
architecture.structure.engineer	architecture.structure	architecture.engineer
architecture.structure.engineering_firm	architecture.structure	architecture.engineering_firm
architecture.structure.owner	architecture.structure	architecture.ownership
architecture.structure.owner..architecture.ownership.owner	architecture.structure	architecture.architectural_structure_owner
architecture.tower_shape.lighthouse_has_shape	architecture.tower_shape	architecture.lighthouse
architecture.type_of_museum.museums	architecture.type_of_museum	architecture.museum
astronomy.asterism.constellations	astronomy.asterism	astronomy.constellation
astronomy.asterism.stars	astronomy.asterism	astronomy.celestial_object
astronomy.asteroid.member_of_asteroid_family	astronomy.asteroid	astronomy.asteroid_family
astronomy.asteroid.member_of_asteroid_group	astronomy.asteroid	astronomy.asteroid_group
astronomy.asteroid.spectral_type	astronomy.asteroid	astronomy.asteroid_spectral_type
astronomy.asteroid_family.asteroid_family_member	astronomy.asteroid_family	astronomy.asteroid
astronomy.asteroid_family.founding_asteroid_family_member	astronomy.asteroid_family	astronomy.asteroid
